word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,text.stopped,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
BLUE,yellow,0,up,1,15,31,7,,,,,,,,,86.9042832999985,86.9042832999985,up,1,1.1171274999942398,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
YELLOW,green,0,down,2,0,32,9,,,,,,,,,88.53688460000558,88.53688460000558,down,1,1.3095809999940684,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
RED,red,1,left,2,1,33,0,,,,,,,,,90.37004199999501,90.37004199999501,left,1,0.6566506999952253,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
RED,blue,0,right,2,2,34,3,,,,,,,,,91.5531001000054,91.5531001000054,right,1,0.6424416999943787,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
YELLOW,red,0,left,2,3,35,10,,,,,,,,,92.7201372999989,92.7201372999989,left,1,1.060405099997297,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
BLUE,green,0,down,2,4,36,4,,,,,,,,,94.30269729999418,94.30269729999418,down,1,0.6445561000000453,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
YELLOW,blue,0,right,2,5,37,11,,,,,,,,,95.46981300000334,95.46981300000334,right,1,1.018756499994197,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
BLUE,yellow,0,up,2,6,38,7,,,,,,,,,97.01936809999461,97.01936809999461,up,1,0.9823923999938415,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
BLUE,blue,1,right,2,7,39,6,,,,,,,,,98.51869559999614,98.51869559999614,left,0,0.7408399999985704,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
GREEN,yellow,0,up,2,8,40,12,,,,,,,,,99.78507349999563,99.78507349999563,up,1,0.623784399984288,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
GREEN,blue,0,right,2,9,41,13,,,,,,,,,100.93527849999373,100.93527849999373,left,0,0.4703000000008615,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
GREEN,red,0,left,2,10,42,15,,,,,,,,,101.93469880000339,101.93469880000339,left,1,1.078053400007775,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
GREEN,green,1,down,2,11,43,14,,,,,,,,,103.53456080000615,103.53456080000615,down,1,0.5587357999902451,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
BLUE,red,0,left,2,12,44,5,,,,,,,,,104.61774129999685,104.61774129999685,left,1,1.2670879999932367,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
RED,green,0,down,2,13,45,1,,,,,,,,,106.4007794999925,106.4007794999925,down,1,0.8008626000082586,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
RED,yellow,0,up,2,14,46,2,,,,,,,,,107.73380390000239,107.73380390000239,up,1,0.7052589999948395,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
YELLOW,yellow,1,up,2,15,47,8,,,,,,,,,108.96701360000588,108.96701360000588,up,1,0.7658727999951225,,,,,,,,,001,Heidi_5,2023-04-14_15h00.33.278,strooptest,2022.2.5,60.11895135656809,
,,,,,,,,,,,,,,,,,,,,,109.75029899999208,109.87631779999356,110.39694340000278,110.39694340000278,3.0,2.7959913999948185,113.04973990000144,116.04916660000163,,,,,,,
