word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,text.stopped,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,22.07466040000145,52.054617500005406,52.08784380000725,52.554487600005814,52.57133000000613,52.57133000000613,space,9.216981899997336,,,,,,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
RED,yellow,0,up,0,0,0,2,,,,,,,,,62.31972260000475,62.31972260000475,up,1,1.0590814999886788,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
BLUE,green,0,down,0,1,1,4,,,,,,,,,63.90269719999924,63.90269719999924,down,1,0.6410171000025002,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
YELLOW,red,0,left,0,2,2,10,,,,,,,,,65.06973650000873,65.06973650000873,left,1,1.4173632000020007,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
GREEN,red,0,left,0,3,3,15,,,,,,,,,67.01887110000825,67.01887110000825,left,1,0.42973700001311954,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
YELLOW,green,0,down,0,4,4,9,,,,,,,,,67.96895640000002,67.96895640000002,down,1,1.3080594000057317,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
BLUE,blue,1,right,0,5,5,6,,,,,,,,,69.8017903,69.8017903,right,1,1.040851300000213,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
RED,blue,0,right,0,6,6,3,,,,,,,,,71.36869220000517,71.36869220000517,right,1,1.5349209000123665,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
RED,green,0,down,0,7,7,1,,,,,,,,,73.43463540000084,73.43463540000084,down,1,1.0633830000006128,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
GREEN,yellow,0,up,0,8,8,12,,,,,,,,,75.01762680000684,75.01762680000684,up,1,0.7868490999971982,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
BLUE,red,0,left,0,9,9,5,,,,,,,,,76.33379680001235,76.33379680001235,left,1,1.2755567999993218,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
GREEN,blue,0,right,0,10,10,13,,,,,,,,,78.13380570001027,78.13380570001027,right,1,0.624037399989902,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
YELLOW,yellow,1,up,0,11,11,8,,,,,,,,,79.28359340000316,79.28359340000316,up,1,0.5518401000008453,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
BLUE,yellow,0,up,0,12,12,7,,,,,,,,,80.36703710000438,80.36703710000438,up,1,0.5301814999984344,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
YELLOW,blue,0,right,0,13,13,11,,,,,,,,,81.41666510001232,81.41666510001232,right,1,0.7691763999901013,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
GREEN,green,1,down,0,14,14,14,,,,,,,,,82.71652440000616,82.71652440000616,down,1,0.6807541000016499,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
RED,red,1,left,0,15,15,0,,,,,,,,,83.9162548000022,83.9162548000022,left,1,0.5295728000055533,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
GREEN,green,1,down,1,0,16,14,,,,,,,,,84.96609549999994,84.96609549999994,up,0,0.44864449999295175,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
YELLOW,blue,0,right,1,1,17,11,,,,,,,,,85.93298390001291,85.93298390001291,right,1,0.6241155000025174,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
RED,red,1,left,1,2,18,0,,,,,,,,,87.08235510000668,87.08235510000668,up,0,0.5909584000037285,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
RED,green,0,down,1,3,19,1,,,,,,,,,88.18261870001152,88.18261870001152,down,1,1.1655766000039876,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
BLUE,red,0,left,1,4,20,5,,,,,,,,,89.8652926000068,89.8652926000068,left,1,1.4948041000025114,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
GREEN,yellow,0,up,1,5,21,12,,,,,,,,,91.88154400000349,91.88154400000349,up,1,0.676767100012512,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
BLUE,green,0,down,1,6,22,4,,,,,,,,,93.08137710001029,93.08137710001029,down,1,1.4631047000002582,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
RED,yellow,0,up,1,7,23,2,,,,,,,,,95.06447760001174,95.06447760001174,up,1,0.7005984000134049,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
YELLOW,yellow,1,up,1,8,24,8,,,,,,,,,96.2977099000127,96.2977099000127,up,1,0.869782200010377,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
BLUE,blue,1,right,1,9,25,6,,,,,,,,,97.69752270000754,97.69752270000754,left,0,0.8221128000004683,,,,,,,,,001,heidi_2,2023-04-14_14h51.41.819,strooptest,2022.2.5,60.01327493968806,
