word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,text.stopped,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,19.77084109999123,49.75800940000045,49.77388899998914,50.25738709999132,50.25738709999132,50.25738709999132,space,2.8590488000045298,,,,,,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
BLUE,yellow,0,up,0,0,0,7,,,,,,,,,53.64004249998834,53.64004249998834,up,1,0.683099999994738,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
YELLOW,red,0,left,0,1,1,10,,,,,,,,,54.83993729999929,54.83993729999929,left,1,0.4897636999958195,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
GREEN,green,1,down,0,2,2,14,,,,,,,,,55.85633429999871,55.85633429999871,down,1,1.1214195999928052,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
YELLOW,blue,0,right,0,3,3,11,,,,,,,,,57.506191099993885,57.506191099993885,right,1,0.8656977000064217,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
BLUE,blue,1,right,0,4,4,6,,,,,,,,,58.88921109998773,58.88921109998773,right,1,0.5549106000107713,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
GREEN,red,0,left,0,5,5,15,,,,,,,,,59.972665499997674,59.972665499997674,left,1,0.8445142999989912,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
RED,green,0,down,0,6,6,1,,,,,,,,,61.339022000000114,61.339022000000114,down,1,1.0252347999921767,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
BLUE,red,0,left,0,7,7,5,,,,,,,,,62.87188779999269,62.87188779999269,up,0,0.7457070000091335,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
YELLOW,yellow,1,up,0,8,8,8,,,,,,,,,64.13849040000059,64.13849040000059,up,1,0.601247600003262,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
RED,red,1,left,0,9,9,0,,,,,,,,,65.27160949999234,65.27160949999234,left,1,0.9805989000014961,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
GREEN,yellow,0,up,0,10,10,12,,,,,,,,,66.7713015999907,66.7713015999907,up,1,0.909243999994942,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
YELLOW,green,0,down,0,11,11,9,,,,,,,,,68.20443679999153,68.20443679999153,down,1,0.7510141999955522,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
RED,blue,0,right,0,12,12,3,,,,,,,,,69.48757499999192,69.48757499999192,right,1,0.6838635000021895,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
RED,yellow,0,up,0,13,13,2,,,,,,,,,70.68737559999863,70.68737559999863,right,0,0.5864425000036135,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
GREEN,blue,0,right,0,14,14,13,,,,,,,,,71.80385249998653,71.80385249998653,left,0,1.1484319000010146,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
BLUE,green,0,down,0,15,15,4,,,,,,,,,73.4702011999907,73.4702011999907,down,1,0.8921830000035698,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
YELLOW,blue,0,right,1,0,16,11,,,,,,,,,74.8867850999959,74.8867850999959,right,1,1.5641421000036644,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
BLUE,yellow,0,up,1,1,17,7,,,,,,,,,76.96966449999309,76.96966449999309,up,1,1.3993524000106845,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
BLUE,blue,1,right,1,2,18,6,,,,,,,,,78.88610839999455,78.88610839999455,left,0,0.9548118999955477,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
GREEN,blue,0,right,1,3,19,13,,,,,,,,,80.35247419998632,80.35247419998632,left,0,0.6701187000144273,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
BLUE,green,0,down,1,4,20,4,,,,,,,,,81.552789999987,81.552789999987,down,1,2.265776600004756,,,,,,,,,001,Heidi_3,2023-04-14_14h54.57.722,strooptest,2022.2.5,60.022208214949984,
