word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,session,participant,date,expName,psychopyVersion,frameRate,
BLUE,yellow,0,up,1,11,27,7,,,,,,,,,118.45749669999987,118.45749669999987,left,0,0.5404938999990918,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
YELLOW,yellow,1,up,1,12,28,8,,,,,,,,,119.52398530000028,119.52398530000028,up,1,0.6791944999995394,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
BLUE,green,0,down,1,13,29,4,,,,,,,,,120.7234969000001,120.7234969000001,left,0,0.5376309999992372,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
GREEN,yellow,0,up,1,14,30,12,,,,,,,,,121.79008310000063,121.79008310000063,down,0,0.8731219999999666,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
BLUE,red,0,left,1,15,31,5,,,,,,,,,123.1898983000001,123.1898983000001,up,0,1.075267399999575,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
GREEN,yellow,0,up,2,0,32,12,,,,,,,,,124.78939309999987,124.78939309999987,down,0,0.8388151999997717,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
RED,green,0,down,2,1,33,1,,,,,,,,,126.15555200000017,126.15555200000017,right,0,0.9279983999995238,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
BLUE,blue,1,right,2,2,34,6,,,,,,,,,127.60536930000035,127.60536930000035,left,0,0.6538555999995879,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
YELLOW,red,0,left,2,3,35,10,,,,,,,,,128.78824880000047,128.78824880000047,right,0,0.7639287999991211,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
RED,blue,0,right,2,4,36,3,,,,,,,,,130.07126880000033,130.07126880000033,left,0,0.6939396999987366,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
GREEN,red,0,left,2,5,37,15,,,,,,,,,131.2876466000007,131.2876466000007,down,0,1.6671121999997922,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
YELLOW,blue,0,right,2,6,38,11,,,,,,,,,133.47100150000006,133.47100150000006,up,0,0.90423809999902,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
BLUE,green,0,down,2,7,39,4,,,,,,,,,134.90336950000074,134.90336950000074,left,0,1.1509930999991411,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
GREEN,green,1,down,2,8,40,14,,,,,,,,,136.58630320000066,136.58630320000066,up,0,0.9739026999995986,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
YELLOW,green,0,down,2,9,41,9,,,,,,,,,138.08597460000055,138.08597460000055,up,0,1.2203384999993432,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
RED,red,1,left,2,10,42,0,,,,,,,,,139.8356999000007,139.8356999000007,right,0,1.0401976999992257,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
BLUE,yellow,0,up,2,11,43,7,,,,,,,,,141.4018956,141.4018956,left,0,1.0327901999999085,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
BLUE,red,0,left,2,12,44,5,,,,,,,,,142.9518705999999,142.9518705999999,left,1,0.5393244999995659,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
YELLOW,yellow,1,up,2,13,45,8,,,,,,,,,144.01825200000076,144.01825200000076,up,1,0.9140125999992961,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
RED,yellow,0,up,2,14,46,2,,,,,,,,,145.45137740000064,145.45137740000064,left,0,1.0787383999995654,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
GREEN,blue,0,right,2,15,47,13,,,,,,,,,147.05067170000075,147.05067170000075,left,0,0.6853701999989426,,,,,,,001,avni02,2023-04-14_15h58.42.671,strooptest,2023.1.0,60.394934556029405,
,,,,,,,,,,,,,,,,,,,,,147.7907169,148.4831223000001,148.4831223000001,3.0,4.101053100000172,152.54999959999986,,,,,,,
