word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,40.092040599999564,70.07895680000001,70.09519329999966,70.5797591999999,70.5797591999999,70.5797591999999,space,4.547339900000225,,,,,,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
GREEN,blue,0,right,0,0,0,13,,,,,,,,,75.64363979999962,75.64363979999962,down,0,2.0889047000000573,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
RED,yellow,0,up,0,1,1,2,,,,,,,,,78.26010260000021,78.26010260000021,left,0,1.1809208000004219,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
BLUE,green,0,down,0,2,2,4,,,,,,,,,79.95970959999977,79.95970959999977,right,0,0.7958585999995194,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
GREEN,green,1,down,0,3,3,14,,,,,,,,,81.27583509999931,81.27583509999931,down,1,1.0787208000001556,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
RED,green,0,down,0,4,4,1,,,,,,,,,82.8755971999999,82.8755971999999,left,0,0.9311066999998729,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
YELLOW,yellow,1,up,0,5,5,8,,,,,,,,,84.32599279999977,84.32599279999977,up,1,0.7156819000001633,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
RED,blue,0,right,0,6,6,3,,,,,,,,,85.5582359,85.5582359,left,0,0.8472897999999986,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
YELLOW,red,0,left,0,7,7,10,,,,,,,,,86.92473559999962,86.92473559999962,up,0,0.4597608999993099,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
BLUE,yellow,0,up,0,8,8,7,,,,,,,,,87.90816519999953,87.90816519999953,right,0,0.6975302000000738,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
