word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,text_3.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,session,participant,date,expName,psychopyVersion,frameRate,
BLUE,blue,1,right,0,9,9,6,,,,,,,,,89.12390199999936,89.12390199999936,right,1,0.5456145999996806,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
YELLOW,blue,0,right,0,10,10,11,,,,,,,,,90.19069799999943,90.19069799999943,up,0,0.690048299999944,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
RED,red,1,left,0,11,11,0,,,,,,,,,91.40695020000021,91.40695020000021,left,1,0.6647062000001824,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
BLUE,red,0,left,0,12,12,5,,,,,,,,,92.58990230000018,92.58990230000018,right,0,1.2246637999996892,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
YELLOW,green,0,down,0,13,13,9,,,,,,,,,94.33969919999981,94.33969919999981,up,0,0.829991799999334,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
GREEN,red,0,left,0,14,14,15,,,,,,,,,95.68897469999956,95.68897469999956,down,0,1.0015906999997242,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
GREEN,yellow,0,up,0,15,15,12,,,,,,,,,97.22204529999999,97.22204529999999,down,0,0.43147789999966335,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
RED,blue,0,right,1,0,16,3,,,,,,,,,98.17234349999944,98.17234349999944,right,1,1.5322446000000127,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
GREEN,green,1,down,1,1,17,14,,,,,,,,,100.22133479999957,100.22133479999957,down,1,0.8052481000004263,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
RED,green,0,down,1,2,18,1,,,,,,,,,101.55429430000004,101.55429430000004,right,0,1.0743126999996093,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
RED,yellow,0,up,1,3,19,2,,,,,,,,,103.15407820000019,103.15407820000019,right,0,0.5829613999994763,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
YELLOW,blue,0,right,1,4,20,11,,,,,,,,,104.25401210000018,104.25401210000018,up,0,0.6788587999999436,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
YELLOW,green,0,down,1,5,21,9,,,,,,,,,105.45375280000007,105.45375280000007,up,0,0.7093101999998908,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
GREEN,blue,0,right,1,6,22,13,,,,,,,,,106.68632650000018,106.68632650000018,down,0,0.6731919999992897,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
RED,red,1,left,1,7,23,0,,,,,,,,,107.88616149999962,107.88616149999962,right,0,1.140597899999193,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
BLUE,yellow,0,up,1,8,24,7,,,,,,,,,109.55249129999993,109.55249129999993,left,0,0.6639865999995891,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
YELLOW,yellow,1,up,1,9,25,8,,,,,,,,,110.73549459999958,110.73549459999958,up,1,1.3291141999998217,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
GREEN,yellow,0,up,1,10,26,12,,,,,,,,,112.58489349999945,112.58489349999945,down,0,0.7025990000001912,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
BLUE,green,0,down,1,11,27,4,,,,,,,,,113.8184683999998,113.8184683999998,up,0,0.9521167999992031,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
YELLOW,red,0,left,1,12,28,10,,,,,,,,,115.30115149999983,115.30115149999983,up,0,1.0865000999992844,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
GREEN,red,0,left,1,13,29,15,,,,,,,,,116.90057429999979,116.90057429999979,down,0,1.1962455999992017,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
BLUE,red,0,left,1,14,30,5,,,,,,,,,118.6170132999996,118.6170132999996,up,0,0.7997209000004659,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
BLUE,blue,1,right,1,15,31,6,,,,,,,,,119.93321359999936,119.93321359999936,up,0,0.5174981999998636,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
YELLOW,green,0,down,2,0,32,9,,,,,,,,,120.98353020000013,120.98353020000013,up,0,0.8021887999993851,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
RED,green,0,down,2,1,33,1,,,,,,,,,122.31603610000002,122.31603610000002,right,0,0.7294627000001128,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
YELLOW,blue,0,right,2,2,34,11,,,,,,,,,123.56538300000011,123.56538300000011,up,0,0.7288334999993822,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
BLUE,yellow,0,up,2,3,35,7,,,,,,,,,124.81529799999953,124.81529799999953,left,0,0.7448059999996985,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
GREEN,red,0,left,2,4,36,15,,,,,,,,,126.08189109999967,126.08189109999967,down,0,0.8820746999999756,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
BLUE,blue,1,right,2,5,37,6,,,,,,,,,127.48147109999991,127.48147109999991,left,0,0.6300234999998793,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
GREEN,blue,0,right,2,6,38,13,,,,,,,,,128.63097599999946,128.63097599999946,down,0,0.534675499999139,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
GREEN,yellow,0,up,2,7,39,12,,,,,,,,,129.69765240000015,129.69765240000015,down,0,0.6448349000002054,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
RED,red,1,left,2,8,40,0,,,,,,,,,130.86355659999936,130.86355659999936,left,1,1.6802071000001888,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
GREEN,green,1,down,2,9,41,14,,,,,,,,,133.06323900000007,133.06323900000007,down,1,0.883559900000364,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
BLUE,red,0,left,2,10,42,5,,,,,,,,,134.46303259999968,134.46303259999968,right,0,1.1536160000005111,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
BLUE,green,0,down,2,11,43,4,,,,,,,,,136.14615099999992,136.14615099999992,right,0,0.7632642999997188,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
YELLOW,yellow,1,up,2,12,44,8,,,,,,,,,137.42878829999972,137.42878829999972,up,1,0.8436320999999225,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
RED,blue,0,right,2,13,45,3,,,,,,,,,138.79524039999978,138.79524039999978,left,0,0.948461199999656,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
RED,yellow,0,up,2,14,46,2,,,,,,,,,140.26139950000015,140.26139950000015,left,0,0.422122699999818,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
YELLOW,red,0,left,2,15,47,10,,,,,,,,,141.21148730000004,141.21148730000004,up,0,0.602018999999018,,,,,,,001,avni03,2023-04-14_16h05.11.918,strooptest,2023.1.0,60.061575126776496,
,,,,,,,,,,,,,,,,,,,,,141.86174389999996,142.55717269999968,142.55717269999968,3.0,3.0507808000002115,145.54434499999934,,,,,,,
