word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
GREEN,green,1,down,1,11,27,14,,,,,,,,104.03857189999962,104.03857189999962,down,1,0.3661541000001307,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,yellow,0,up,1,12,28,7,,,,,,,,104.92209029999958,104.92209029999958,down,0,1.4944792999995116,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,blue,0,right,1,13,29,11,,,,,,,,106.93796440000006,106.93796440000006,up,0,0.7282780999994429,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,red,0,left,1,14,30,5,,,,,,,,108.18763680000029,108.18763680000029,left,1,0.668605199999547,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,green,0,down,1,15,31,9,,,,,,,,109.38740359999974,109.38740359999974,up,0,0.68982860000051,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,red,0,left,2,0,32,15,,,,,,,,110.6038822999999,110.6038822999999,down,0,0.7183373999996547,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,red,0,left,2,1,33,10,,,,,,,,111.85325319999993,111.85325319999993,down,0,0.41995569999926374,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,blue,0,right,2,2,34,13,,,,,,,,112.80403930000011,112.80403930000011,down,0,1.0601583999996365,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
RED,blue,0,right,2,3,35,3,,,,,,,,114.38624660000005,114.38624660000005,up,0,1.169018500000675,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
RED,red,1,left,2,4,36,0,,,,,,,,116.08608860000004,116.08608860000004,up,0,0.824083999999857,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,green,0,down,2,5,37,9,,,,,,,,117.4356998000003,117.4356998000003,up,0,0.7338012999998682,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,yellow,0,up,2,6,38,7,,,,,,,,118.68603579999944,118.68603579999944,left,0,0.9532374999998865,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,red,0,left,2,7,39,5,,,,,,,,120.16836710000007,120.16836710000007,right,0,1.1600091999998767,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,blue,1,right,2,8,40,6,,,,,,,,121.8510782000003,121.8510782000003,right,1,0.6953116999993654,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
BLUE,green,0,down,2,9,41,4,,,,,,,,123.0673912000002,123.0673912000002,right,0,0.41709459999947285,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,blue,0,right,2,10,42,11,,,,,,,,124.00061259999984,124.00061259999984,up,0,0.983097700000144,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,yellow,0,up,2,11,43,12,,,,,,,,125.50033470000017,125.50033470000017,left,0,0.9710638000005929,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
RED,green,0,down,2,12,44,1,,,,,,,,127.00009239999963,127.00009239999963,left,0,1.393420000000333,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
GREEN,green,1,down,2,13,45,14,,,,,,,,128.91610719999971,128.91610719999971,down,1,0.7656518000003416,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
YELLOW,yellow,1,up,2,14,46,8,,,,,,,,130.19976619999943,130.19976619999943,up,1,0.7707605999994485,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
RED,yellow,0,up,2,15,47,2,,,,,,,,131.49863199999982,131.49863199999982,right,0,1.1376853000001574,,,,,,,,001,avni04,2023-04-14_16h08.45.549,strooptest,2023.1.0,60.1982086216191,
,,,,,,,,,,,,,,,,,,,,132.66904220000015,133.37499649999972,133.37499649999972,3.0,3.199682600000415,136.48098870000013,139.4802265999997,,,,,,,
