word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,35.96755920000032,65.94622449999952,65.97820059999958,66.46246410000003,66.46246410000003,space,2.4115639999999985,,,,,,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
RED,yellow,0,up,0,0,0,2,,,,,,,,69.39428020000014,69.39428020000014,right,0,0.871716199999355,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
YELLOW,blue,0,right,0,1,1,11,,,,,,,,70.77744359999997,70.77744359999997,up,0,0.6254633999997168,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
GREEN,red,0,left,0,2,2,15,,,,,,,,71.91033599999992,71.91033599999992,down,0,0.752465999999913,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
RED,red,1,left,0,3,3,0,,,,,,,,73.19348869999976,73.19348869999976,right,0,0.6185705999996571,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
BLUE,green,0,down,0,4,4,4,,,,,,,,74.34344229999988,74.34344229999988,left,0,0.8130283000000418,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
YELLOW,red,0,left,0,5,5,10,,,,,,,,75.67608250000012,75.67608250000012,up,0,0.8022440999993705,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
BLUE,red,0,left,0,6,6,5,,,,,,,,77.00889019999977,77.00889019999977,left,1,0.6603862999991179,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
GREEN,blue,0,right,0,7,7,13,,,,,,,,78.19223039999997,78.19223039999997,down,0,0.6835310000005848,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
BLUE,yellow,0,up,0,8,8,7,,,,,,,,79.39195600000039,79.39195600000039,left,0,0.6650590999997803,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
YELLOW,green,0,down,0,9,9,9,,,,,,,,80.5750423999998,80.5750423999998,up,0,0.8078270999994857,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
RED,blue,0,right,0,10,10,3,,,,,,,,81.90818760000002,81.90818760000002,right,1,1.167677200000071,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
BLUE,blue,1,right,0,11,11,6,,,,,,,,83.60763990000032,83.60763990000032,left,0,0.836925099999462,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
YELLOW,yellow,1,up,0,12,12,8,,,,,,,,84.97440319999987,84.97440319999987,up,1,0.6034485000000132,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
GREEN,green,1,down,0,13,13,14,,,,,,,,86.10720239999955,86.10720239999955,down,1,0.77390159999959,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
GREEN,yellow,0,up,0,14,14,12,,,,,,,,87.40680169999996,87.40680169999996,down,0,0.4973406999997678,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
RED,green,0,down,0,15,15,1,,,,,,,,88.42278850000002,88.42278850000002,right,0,0.7641512999998668,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
RED,green,0,down,1,0,16,1,,,,,,,,89.70601319999969,89.70601319999969,right,0,0.46995069999957195,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
RED,blue,0,right,1,1,17,3,,,,,,,,90.7056634999999,90.7056634999999,right,1,0.5883530000000974,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
BLUE,yellow,0,up,1,2,18,7,,,,,,,,91.82343159999982,91.82343159999982,left,0,0.6465201999999408,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
