word,colour,congruent,corrAns,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_2.started,text_3.started,text_2.stopped,instrText.started,key_resp.started,key_resp.keys,key_resp.rt,target.started,response.started,response.keys,response.corr,response.rt,text.started,endNotes.started,stressScore.started,stressScore.response,stressScore.rt,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
GREEN,green,1,down,1,3,19,14,,,,,,,,92.98854719999963,92.98854719999963,down,1,0.7793587999994998,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
BLUE,green,0,down,1,4,20,4,,,,,,,,94.28818750000028,94.28818750000028,left,0,0.7304948999999397,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
YELLOW,blue,0,right,1,5,21,11,,,,,,,,95.53760630000033,95.53760630000033,down,0,0.8283406000000468,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
GREEN,yellow,0,up,1,6,22,12,,,,,,,,96.88747890000013,96.88747890000013,down,0,0.5800837999995565,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
YELLOW,green,0,down,1,7,23,9,,,,,,,,97.98715249999987,97.98715249999987,up,0,1.0114118000001326,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
RED,red,1,left,1,8,24,0,,,,,,,,99.52018059999955,99.52018059999955,right,0,0.6118689000004451,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
GREEN,blue,0,right,1,9,25,13,,,,,,,,100.65325089999988,100.65325089999988,down,0,1.102785799999765,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
RED,yellow,0,up,1,10,26,2,,,,,,,,102.28574440000011,102.28574440000011,right,0,0.6657382000003054,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
BLUE,red,0,left,1,11,27,5,,,,,,,,103.46930880000036,103.46930880000036,left,1,0.814707499999713,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
GREEN,red,0,left,1,12,28,15,,,,,,,,104.80342999999993,104.80342999999993,down,0,1.217573199999606,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
YELLOW,yellow,1,up,1,13,29,8,,,,,,,,106.55204839999988,106.55204839999988,up,1,0.6745421999994505,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
BLUE,blue,1,right,1,14,30,6,,,,,,,,107.73497489999954,107.73497489999954,down,0,1.0162478999991436,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
YELLOW,red,0,left,1,15,31,10,,,,,,,,109.26781399999982,109.26781399999982,left,1,0.9491748000000371,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
RED,red,1,left,2,0,32,0,,,,,,,,110.73387759999969,110.73387759999969,right,0,0.6805482999998276,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
RED,yellow,0,up,2,1,33,2,,,,,,,,111.93390739999995,111.93390739999995,right,0,0.5160821999998007,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
RED,green,0,down,2,2,34,1,,,,,,,,112.96685059999982,112.96685059999982,right,0,0.5511102000000392,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
YELLOW,green,0,down,2,3,35,9,,,,,,,,114.05147880000004,114.05147880000004,up,0,0.7843977000002269,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
BLUE,blue,1,right,2,4,36,6,,,,,,,,115.36642519999987,115.36642519999987,down,0,0.634391699999469,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
GREEN,yellow,0,up,2,5,37,12,,,,,,,,116.51637049999954,116.51637049999954,left,0,0.7815931999994064,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
GREEN,blue,0,right,2,6,38,13,,,,,,,,117.81691760000012,117.81691760000012,left,0,0.48695520000001125,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
BLUE,green,0,down,2,7,39,4,,,,,,,,118.83232510000016,118.83232510000016,down,1,0.7205687999994552,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
GREEN,red,0,left,2,8,40,15,,,,,,,,120.08193860000029,120.08193860000029,up,0,0.663650499999676,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
YELLOW,yellow,1,up,2,9,41,8,,,,,,,,121.26493759999994,121.26493759999994,down,0,1.3220317999994222,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
BLUE,yellow,0,up,2,10,42,7,,,,,,,,123.11448839999957,123.11448839999957,up,1,0.8862646999996286,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
BLUE,red,0,left,2,11,43,5,,,,,,,,124.51422490000004,124.51422490000004,up,0,0.5977416999994603,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
YELLOW,blue,0,right,2,12,44,11,,,,,,,,125.63060769999993,125.63060769999993,up,0,0.8293014999999286,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
YELLOW,red,0,left,2,13,45,10,,,,,,,,126.98042069999974,126.98042069999974,up,0,0.7306939999998576,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
RED,blue,0,right,2,14,46,3,,,,,,,,128.22982500000035,128.22982500000035,right,1,0.6712214999997741,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
GREEN,green,1,down,2,15,47,14,,,,,,,,129.42968990000008,129.42968990000008,down,1,0.826283099999273,,,,,,,,001,avni05,2023-04-14_16h12.06.172,strooptest,2023.1.0,59.98850620220521,
,,,,,,,,,,,,,,,,,,,,130.29291889999968,130.97647700000016,130.97647700000016,3.0,3.553283100000044,134.44554489999973,137.44425609999962,,,,,,,
